year;won;album;artist
2000;1;Supernatural;Santana
2000;0;FanMail;TLC
2000;0;Fly;Dixie Chicks
2000;0;Millennium;Backstreet Boys
2000;0;When I Look in Your Eyes;Diana Krall
2001;1;Two Against Nature;Steely Dan
2001;0;Kid A;Radiohead
2001;0;The Marshall Mathers LP;Eminem
2001;0;Midnite Vultures;Beck
2001;0;You're the One;Paul Simon
2002;1;O Brother, Where Art Thou? - Soundtrack;Various Artists
2002;0;Acoustic Soul;India.Arie
2002;0;All That You Can't Leave Behind;U2
2002;0;Love and Theft;Bob Dylan
2002;0;Stankonia;OutKast
2003;1;Come Away with Me;Norah Jones
2003;0;The Eminem Show;Eminem
2003;0;Home;Dixie Chicks
2003;0;Nellyville;Nelly
2003;0;The Rising;Bruce Springsteen
2004;1;Speakerboxxx/The Love Below;OutKast
2004;0;Elephant;The White Stripes
2004;0;Fallen;Evanescence
2004;0;Justified;Justin Timberlake
2004;0;Under Construction;Missy Elliott
2005;1;Genius Loves Company;Ray Charles
2005;0;American Idiot;Green Day
2005;0;The College Dropout;Kanye West
2005;0;Confessions;Usher
2005;0;The Diary of Alicia Keys;Alicia Keys
2006;1;How to Dismantle an Atomic Bomb;U2
2006;0;Chaos and Creation in the Backyard;Paul McCartney
2006;0;The Emancipation of Mimi;Mariah Carey
2006;0;Late Registration;Kanye West
2006;0;Love. Angel. Music. Baby.;Gwen Stefani
2007;1;Taking the Long Way;Dixie Chicks
2007;0;Continuum;John Mayer
2007;0;FutureSex/LoveSounds;Justin Timberlake
2007;0;St. Elsewhere;Gnarls Barkley
2007;0;Stadium Arcadium;Red Hot Chili Peppers
2008;1;River: The Joni Letters;Herbie Hancock
2008;0;Back to Black;Amy Winehouse
2008;0;Echoes, Silence, Patience & Grace;Foo Fighters
2008;0;Graduation;Kanye West
2008;0;These Days;Vince Gill
2009;1;Raising Sand;Robert Plant & Alison Krauss
2009;0;In Rainbows;Radiohead
2009;0;Tha Carter III;Lil Wayne
2009;0;Viva la Vida or Death and All His Friends;Coldplay
2009;0;Year of the Gentleman;Ne-Yo
2010;1;Fearless;Taylor Swift
2010;0;Big Whiskey & the GrooGrux King;Dave Matthews Band
2010;0;The E.N.D.;The Black Eyed Peas
2010;0;The Fame;Lady Gaga
2010;0;I Am... Sasha Fierce;Beyoncé
2011;1;The Suburbs;Arcade Fire
2011;0;The Fame Monster;Lady Gaga
2011;0;Need You Now;Lady Antebellum
2011;0;Recovery;Eminem
2011;0;Teenage Dream;Katy Perry
2012;1;21;Adele
2012;0;Born This Way;Lady Gaga
2012;0;Doo-Wops & Hooligans;Bruno Mars
2012;0;Loud;Rihanna
2012;0;Wasting Light;Foo Fighters
2013;1;Babel;Mumford & Sons
2013;0;Blunderbuss;Jack White
2013;0;Channel Orange;Frank Ocean
2013;0;El Camino;The Black Keys
2013;0;Some Nights;Fun.
2014;1;Random Access Memories;Daft Punk
2014;0;The Blessed Unrest;Sara Bareilles
2014;0;Good Kid, M.A.A.D City;Kendrick Lamar
2014;0;The Heist;Macklemore & Ryan Lewis
2014;0;Red;Taylor Swift
2015;1;Morning Phase;Beck
2015;0;Beyoncé;Beyoncé
2015;0;Girl;Pharrell Williams
2015;0;In the Lonely Hour;Sam Smith
2015;0;x;Ed Sheeran
2016;1;1989;Taylor Swift
2016;0;Beauty Behind the Madness;The Weeknd
2016;0;Sound & Color;Alabama Shakes
2016;0;To Pimp a Butterfly;Kendrick Lamar
2016;0;Traveller;Chris Stapleton
2017;1;25;Adele
2017;0;Lemonade;Beyoncé
2017;0;Purpose;Justin Bieber
2017;0;A Sailor's Guide to Earth;Sturgill Simpson
2017;0;Views;Drake
2018;1;24K Magic;Bruno Mars
2018;0;"Awaken, My Love!";Childish Gambino
2018;0;DAMN.;Kendrick Lamar
2018;0;4:44;Jay-Z
2018;0;Melodrama;Lorde
2019;1;Golden Hour;Kacey Musgraves
2019;0;Beerbongs & Bentleys;Post Malone
2019;0;Black Panther: The Album, Music from and Inspired By;Various Artists
2019;0;By the Way, I Forgive You;Brandi Carlile
2019;0;Dirty Computer;Janelle Monáe
2019;0;H.E.R.;H.E.R.
2019;0;Invasion of Privacy;Cardi B
2019;0;Scorpion;Drake
2020;1;When We All Fall Asleep, Where Do We Go?;Billie Eilish
2020;0;Cuz I Love You (Deluxe);Lizzo
2020;0;Father of the Bride;Vampire Weekend
2020;0;I, I;Bon Iver
2020;0;I Used to Know Her;H.E.R.
2020;0;Norman Fucking Rockwell!;Lana Del Rey
2020;0;7;Lil Nas X
2020;0;Thank U, Next;Ariana Grande
